userId,gender,item,rating,review,helpfulness,timestamp,category
10729,F,NetZero,4.0,Good service,4.0,41201,Online Stores & Services
10729,M,Shrek,5.0,Shrek is shrieking good fun,5.0,82101,Movies
10729,M,MyPoints.com,4.0,It's great!,5.0,92500,Online Stores & Services
10729,M,Erin Brockovich,5.0,Great Film,6.0,102500,Movies
10729,M,How the Grinch Stole Christmas,5.0,Put me in the Christmas Spirit,5.0,112200,Movies
11716,F,Perfect Storm,3.0,Not Quite Perfect,3.0,22801,Movies
11716,M,StartSampling.Com,2.0,They Finally Ran Out Of Slim Jims!!!,3.0,91200,Online Stores & Services
11716,M,eBay,3.0,Addictive-Annoying!,3.0,92000,Online Stores & Services
11716,M,Erin Brockovich,4.0,Pretty Woman-With A Brain,3.0,112700,Movies
11716,M,X-Men,4.0,They Looked Better In Spandex,5.0,112800,Movies
667,F,Delta Air Lines,2.0,Delta - Mediocre Airline,3.0,32700,Hotels & Travel
667,M,Erin Brockovich,5.0,Roberts ROCKS!,5.0,41700,Movies
667,F,All Advantage,3.0,It's okay,3.0,50200,Online Stores & Services
667,F,MyPoints.com,4.0,Woo Hoo!  Free Stuff!,5.0,51000,Online Stores & Services
667,F,Blue Mountain Arts eCards,5.0,Delivering Smiles 24-7,6.0,51000,Online Stores & Services
667,M,Taco Bell,3.0,Not Bad Once In A While,3.0,52500,Restaurants & Gourmet
667,F,Gladiator,3.0,I'm Not Impressed.,3.0,61500,Movies
667,F,Wendy's,4.0,My Best Friend is Dave's Long Lost Daughter,3.0,72500,Restaurants & Gourmet
667,M,Outback Steakhouse,4.0,Outback Steakhouse:  Too Right,4.0,73104,Restaurants & Gourmet
667,M,Scary Movie,2.0,What Happened to my Sense of Humor?,3.0,80300,Movies
667,F,NBC,5.0,Will &amp; Grace Deserved The Emmy!!,4.0,91200,Media
667,F,PayPal,4.0,Quick and Easy Payments Online,5.0,92401,Personal Finance
667,M,NBC,3.0,Supernatural on Days?  Not again!!!,4.0,92600,Media
667,F,X-Men,3.0,Where's Gambit?,3.0,113000,Movies
667,M,How the Grinch Stole Christmas,4.0,The First Great Christmas Movie of 2000,4.0,120100,Movies
667,F,Unbreakable,4.0,"&quot;Excuse me, I tooted again.&quot;",4.0,120300,Movies
667,M,Galaxy Quest,5.0,They Can Save My Planet Anytime!,6.0,121900,Movies
667,M,Patriot,2.0,"&quot;They can take our lives, but they can't take our freedom!&quot;",3.0,123100,Movies
11714,F,Taco Bell,5.0,TACO H*LL HAS COME A LONG WAY!!,4.0,10501,Restaurants & Gourmet
11714,M,Outback Steakhouse,5.0,G'day and G'd place for a great burger,5.0,10601,Restaurants & Gourmet
11714,F,How the Grinch Stole Christmas,4.0,The Grinch that Stole Christmas is a hit then and now!!!,4.0,121300,Movies
11714,M,McDonald's,5.0,does injury proof playgrounds=funproof for kids?,4.0,121900,Restaurants & Gourmet
11714,F,"South Park: Bigger, Longer & Uncut",5.0,Sit down and watch more South Park M'Kay,4.0,122400,Movies
5418,F,FreeRide.com,4.0,Let's go for a ride!,5.0,11300,Online Stores & Services
5418,F,StartSampling.Com,4.0,Why not??,4.0,11300,Online Stores & Services
5418,F,All Advantage,5.0,Definitely an Advantage!!,6.0,11300,Online Stores & Services
5418,F,MyPoints.com,4.0,Bring on the points!,4.0,11300,Online Stores & Services
5418,F,MyPoints.com,4.0,Still going and going and going.......,3.0,42100,Online Stores & Services
5418,F,eBay,5.0,Hi My Name is bjsmom &amp; I am an...,6.0,62600,Online Stores & Services
5418,F,PayPal,5.0,No Fees!!! Yippee!!,4.0,101300,Personal Finance
5418,F,All Advantage,3.0,It Had it's 5 Minutes of Fame,3.0,101300,Online Stores & Services
4912,M,Blair Witch Project,3.0,The Haunted Hunters,4.0,111299,Movies
4912,F,Star Wars Episode I: The Phantom Menace,3.0,The Dark Force has taken over,3.0,111299,Movies
4912,F,Fight Club,3.0,Slippery soap gets you nothing,4.0,111299,Movies
4912,M,Toy Story 2,5.0,Love &amp; Toys,4.0,120299,Movies
4912,F,Sleepy Hollow,3.0,Heads Do Roll,3.0,120599,Movies
4912,F,"South Park: Bigger, Longer & Uncut",4.0,Crude Animation taunts Absurd Reality,3.0,120599,Movies
7604,F,Taco Bell,4.0,Cute dog decent food,4.0,60400,Restaurants & Gourmet
7604,F,Olive Garden,5.0,My Favorite!,4.0,60400,Restaurants & Gourmet
7604,F,Wendy's,2.0,mmm Wendy's.....eww fly on breadstick,3.0,60400,Restaurants & Gourmet
7604,M,Outback Steakhouse,5.0,Outback ,4.0,60500,Restaurants & Gourmet
11840,M,Cast Away,5.0,"Castaway: Starring Tom Hanks, Helen Hunt and a Volleyball",4.0,10301,Movies
11840,M,X-Men,4.0,X-Men: X Marks the Spot!,5.0,60201,Movies
11840,M,Burger King,3.0,"Burger King: Hey You Pimply Faced Geek, Show me Your Sesame Seed Buns!",4.0,61501,Restaurants & Gourmet
11840,F,Being John Malkovich,5.0,Finally Got to see this movie...glad I did,5.0,80800,Movies
11840,F,AOL (America Online),3.0,AOL Fine for Beginners,3.0,80800,Online Stores & Services
11840,M,Galaxy Quest,4.0,"I'm a Nerd, and Proud of It!",3.0,101700,Movies
11840,F,MyPoints.com,5.0,Helpful Explanation and Points can be Acquired,6.0,101800,Online Stores & Services
